index,level_0,MDX,HMP,NT,K,OUT
0,0.5,0.0,0.0,1.0,0.0,0.37615052143597844
1,2.5,0.0,1.0,0.0,0.0,0.34787608553206717
2,4.5,1.0,0.0,0.0,0.0,0.3917207758216195
3,6.5,0.0,0.5,0.5,0.0,0.6442547137265493
4,8.5,0.5,0.0,0.5,0.0,0.5035143423701406
5,10.5,0.5,0.5,0.0,0.0,0.13107732356527685
6,12.5,0.25,0.25,0.5,0.0,0.26854704622331
7,14.5,0.25,0.5,0.25,0.0,0.6641881888439614
8,16.5,0.5,0.25,0.25,0.0,0.6369390968624291
9,18.5,0.25,0.25,0.25,0.25,0.24004401718318036
10,20.5,0.0,0.0,0.0,1.0,0.12637960841238544
11,22.5,0.0,0.0,0.5,0.5,0.14564587251223615
12,24.5,0.0,0.5,0.0,0.5,0.10430284492772793
13,26.5,0.5,0.0,0.0,0.5,0.10866178571119726
14,28.5,0.0,0.25,0.25,0.5,0.24819852586289354
15,30.5,0.25,0.0,0.25,0.5,0.3145551077144466
16,33.0,0.0,0.5,0.25,0.25,0.17206757366745787
