Area_1,Area_2,Conc_1,Conc_2,AVG,STD,AVG,STD,Mg(Glu)2,NH4(Glu),K(Glu),Glucose,K2HPO4,NAD,ATP,CoA
0,0,0,0,0,0,0,0,8,10,134,0,10,0.5,0,0.5
0,0,0,0,0,0,0,0,8,10,134,200,10,0,0,0.5
0,0,0,0,0,0,0,0,8,10,134,200,10,0.5,0,2
0,0,0,0,0,0,0,0,8,10,134,200,10,0.5,0,1.6
0,3777.6,0,2.41,1.21,1.7,0.09,0.13,8,10,134,200,10,0.5,2,0.5
0,5799.2,0,3.7,1.85,2.62,0.14,0.19,0,10,134,200,10,0.5,0,0.5
3400.1,4748.3,2.17,3.03,2.6,0.61,0.19,0.05,8,10,134,200,20,0.5,0,0.5
3313.2,5067.6,2.11,3.23,2.67,0.79,0.2,0.06,8,10,134,200,10,0.5,0,1.2
5919.1,3240,3.78,2.07,2.92,1.21,0.22,0.09,8,10,0,200,10,0.5,0,0.5
5761.3,4591,3.68,2.93,3.3,0.53,0.24,0.04,8,10,134,200,10,0.5,0,0.5
4087.5,6568.8,2.61,4.19,3.4,1.12,0.25,0.08,8,10,134,200,10,0.5,0,0.8
5434.6,5418.2,3.47,3.46,3.46,0.01,0.26,0,8,10,35,200,10,0.5,0,0.5
3644,10157.2,2.33,6.48,4.4,2.94,0.33,0.22,8,10,134,200,10,0.5,1.2,0.5
6491,8695.6,4.14,5.55,4.85,0.99,0.36,0.07,8,10,134,200,10,0.4,0,0.5
9388.5,6220.8,5.99,3.97,4.98,1.43,0.37,0.11,8,10,134,200,16,0.5,0,0.5
8013.3,N/A,5.11,N/A,5.11,N/A,0.38,N/A,8,10,175,200,10,0.5,0,0.5
6832.6,10094.4,4.36,6.44,5.4,1.47,0.4,0.11,8,10,134,200,10,0.5,0,0.5
6250.4,10798.6,3.99,6.89,5.44,2.05,0.4,0.15,8,10,134,200,10,0.5,1.6,0.5
11200.8,8948.8,7.15,5.71,6.43,1.02,0.48,0.08,16,10,134,200,10,0.5,0,0.5
12979.5,8512.2,8.28,5.43,6.86,2.02,0.51,0.15,8,10,134,120,10,0.5,0,0.5
14145.3,7431,9.03,4.74,6.88,3.03,0.51,0.22,3.2,10,134,200,10,0.5,0,0.5
13382.7,9338.4,8.54,5.96,7.25,1.82,0.54,0.14,8,10,105,200,10,0.5,0,0.5
12395.4,10828.2,7.91,6.91,7.41,0.71,0.55,0.05,8,10,134,200,12,0.5,0,0.5
7914,16130.8,5.05,10.29,7.67,3.71,0.57,0.27,8,10,134,200,10,0.5,0,0
13159.3,11100.6,8.4,7.08,7.74,0.93,0.57,0.07,12.8,10,134,200,10,0.5,0,0.5
15338.7,9948.9,9.79,6.35,8.07,2.43,0.6,0.18,8,10,140,200,10,0.5,0,0.5
8532.5,17268.8,5.45,11.02,8.23,3.94,0.61,0.29,8,10,134,200,10,0.5,0,0.4
14757.7,11211.6,9.42,7.15,8.29,1.6,0.61,0.12,8,10,134,40,10,0.5,0,0.5
13443.1,12579.9,8.58,8.03,8.3,0.39,0.62,0.03,8,3.2,134,200,10,0.5,0,0.5
15992.3,11871.9,10.21,7.58,8.89,1.86,0.66,0.14,8,10,134,160,10,0.5,0,0.5
15063.3,N/A,9.61,N/A,9.61,N/A,0.71,N/A,8,0,134,200,10,0.5,0,0.5
19337.1,13017.4,12.34,8.31,10.32,2.85,0.77,0.21,9.6,10,134,200,10,0.5,0,0.5
17480.6,15816.3,11.16,10.09,10.62,0.75,0.79,0.06,8,12.8,134,200,10,0.5,0,0.5
14151.1,21533.7,9.03,13.74,11.39,3.33,0.84,0.25,8,10,134,200,10,0.8,0,0.5
19424.9,N/A,12.4,N/A,12.4,N/A,0.92,N/A,8,16,134,200,10,0.5,0,0.5
19245.7,19633.9,12.28,12.53,12.41,0.18,0.92,0.01,8,10,134,200,0,0.5,0,0.5
21529,19966.2,13.74,12.74,13.24,0.71,0.98,0.05,8,10,134,200,4,0.5,0,0.5
21607.8,N/A,13.79,N/A,13.79,N/A,1.02,N/A,8,9.6,134,200,10,0.5,0,0.5
N/A,26852.4,N/A,17.14,17.14,N/A,1.27,N/A,8,10,134,200,10,2,0,0.5
34000.5,44825.7,21.7,28.61,25.15,4.88,1.86,0.36,8,10,134,200,10,1.2,0,0.5
41466.4,54492.2,26.46,34.77,30.62,5.88,2.27,0.44,8,10,134,200,10,1.6,0,0.5
