glc__D,aas,nts
0,0,200
12.5,12.5,187.5
25,25,175
37.5,37.5,162.5
50,50,150
62.5,62.5,137.5
75,75,125
87.5,87.5,112.5
100,100,100
112.5,112.5,87.5
125,125,75
137.5,137.5,62.5
150,150,50
162.5,162.5,37.5
175,175,25
187.5,187.5,12.5
200,200,0
0,200,100
12.5,187.5,112.5
25,175,125
37.5,162.5,137.5
50,150,150
62.5,137.5,162.5
75,125,175
87.5,112.5,187.5
100,100,200
112.5,87.5,0
125,75,12.5
137.5,62.5,25
150,50,37.5
162.5,37.5,50
175,25,62.5
187.5,12.5,75
200,0,87.5
0,100,0
12.5,112.5,12.5
25,125,25
37.5,137.5,37.5
50,150,50
62.5,162.5,62.5
75,175,75
87.5,187.5,87.5
100,200,100
112.5,0,112.5
125,12.5,125
137.5,25,137.5
150,37.5,150
162.5,50,162.5
175,62.5,175
187.5,75,187.5
200,87.5,200
