User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 2052
Test name: ELT_RFP,Date: 17/05/2018,Time: 13:32:55

ID1: 17_5_18_T7_mRFP_NLS,
Fluorescence (FI), multichromatic

Well,,B02,B03,B04,B05,B06,B07,B08,B09,C02,C03,C04,C05,C06,C07,C08,C09,D02,D03,D04,D05,D06,D07,D08,D09,E02,E03,E04,E05,E06,E07,E08,E09,F02,F03,F04,F05
 Raw Data (570-20/630-40 4),0,586E0,266E0,620E0,628E0,725E0,616E0,735E0,570E0,637E0,717E0,567E0,558E0,581E0,512E0,631E0,656E0,638E0,645E0,670E0,675E0,461E0,730E0,624E0,633E0,509E0,614E0,354E0,538E0,720E0,291E0,522E0,117E0,421E0,531E0,578E0,598E0
 Raw Data (570-20/630-40 4),0.07,633E0,245E0,625E0,653E0,749E0,614E0,717E0,582E0,647E0,1.054E3,566E0,563E0,616E0,527E0,648E0,684E0,684E0,652E0,663E0,673E0,449E0,710E0,615E0,630E0,529E0,631E0,342E0,552E0,714E0,310E0,491E0,120E0,418E0,539E0,612E0,611E0
 Raw Data (570-20/630-40 4),0.13,614E0,268E0,646E0,629E0,742E0,616E0,737E0,559E0,642E0,1.066E3,600E0,618E0,602E0,545E0,645E0,600E0,691E0,643E0,658E0,692E0,458E0,718E0,617E0,625E0,550E0,626E0,354E0,570E0,712E0,313E0,531E0,121E0,431E0,532E0,589E0,608E0
 Raw Data (570-20/630-40 4),0.20,647E0,310E0,701E0,642E0,801E0,698E0,815E0,606E0,640E0,814E0,623E0,635E0,643E0,565E0,670E0,718E0,691E0,664E0,684E0,701E0,473E0,723E0,603E0,642E0,513E0,628E0,343E0,610E0,700E0,362E0,535E0,110E0,436E0,503E0,542E0,599E0
 Raw Data (570-20/630-40 4),0.27,611E0,294E0,689E0,683E0,794E0,677E0,798E0,663E0,667E0,836E0,628E0,598E0,630E0,577E0,704E0,655E0,684E0,666E0,718E0,713E0,489E0,705E0,608E0,650E0,493E0,615E0,316E0,583E0,677E0,334E0,533E0,114E0,427E0,539E0,559E0,587E0
 Raw Data (570-20/630-40 4),0.33,630E0,306E0,678E0,670E0,817E0,690E0,814E0,674E0,668E0,2.551E3,620E0,623E0,644E0,589E0,678E0,776E0,696E0,685E0,692E0,685E0,493E0,747E0,618E0,662E0,487E0,630E0,349E0,607E0,691E0,342E0,576E0,103E0,434E0,532E0,551E0,612E0
 Raw Data (570-20/630-40 4),0.40,657E0,291E0,687E0,666E0,751E0,643E0,771E0,650E0,672E0,1.291E3,600E0,615E0,621E0,592E0,649E0,718E0,700E0,685E0,704E0,707E0,485E0,729E0,592E0,651E0,529E0,641E0,356E0,629E0,770E0,347E0,581E0,125E0,480E0,566E0,630E0,607E0
 Raw Data (570-20/630-40 4),0.47,664E0,325E0,702E0,708E0,829E0,683E0,797E0,671E0,689E0,1.197E3,628E0,681E0,671E0,598E0,692E0,673E0,692E0,669E0,709E0,727E0,526E0,782E0,615E0,651E0,517E0,627E0,344E0,626E0,719E0,381E0,598E0,119E0,444E0,526E0,569E0,623E0
 Raw Data (570-20/630-40 4),0.53,661E0,331E0,738E0,674E0,816E0,680E0,819E0,690E0,703E0,1.401E3,639E0,643E0,673E0,657E0,730E0,763E0,704E0,697E0,696E0,689E0,512E0,759E0,605E0,641E0,523E0,672E0,341E0,651E0,737E0,412E0,618E0,113E0,444E0,546E0,564E0,609E0
 Raw Data (570-20/630-40 4),0.60,663E0,339E0,737E0,704E0,833E0,690E0,834E0,734E0,714E0,1.356E3,630E0,650E0,643E0,633E0,717E0,703E0,669E0,672E0,723E0,720E0,541E0,763E0,643E0,682E0,506E0,653E0,372E0,663E0,717E0,416E0,627E0,109E0,461E0,542E0,576E0,626E0
